Code,Title,Levels,Runtime,RelDate,Season,Authors,Tier,Price,Seed,G.Ad.,Eber,RMH,Epic,URL
CCC-BMG-33-PHLAN 3-3,Spinning on the Edge,1-4,4,,,,,,,,,,,https://www.dmsguild.com/product/247513/CCCBMG33-PHLAN-33-Spinning-on-the-Edge
CCC-BMG-34-ELM2-1,Tendrils in the Fog,5-10,4,,,,,,,,,,,https://www.dmsguild.com/product/254008/CCCBMG34-ELM-21-Tendrils-in-the-Fog
CCC-BMG-35-ELM2-2,Mists of the Moonsea,5-10,4,,,,,,,,,,,https://www.dmsguild.com/product/254009/CCCBMG35-ELM-22-Mists-of-the-Moonsea
CCC-BMG-36-ELM2-3,Vestiges of Darkness,5-10,4,,,,,,,,,,,https://www.dmsguild.com/product/254011/CCCBMG36-ELM-23-Vestiges-of-Darkness
CCC-BMG-37-HULB 3-1,Weakness of Rock,11-16,4,,,,,,,,,,,https://www.dmsguild.com/product/260904/CCCBMG37-HULB-31-Weakness-of-Rock
CCC-BMG-38-HULB 3-2,Dead Canaries,11-16,4,,,,,,,,,,,https://www.dmsguild.com/product/260905/CCCBMG38-HULB-32-Dead-Canaries
CCC-BMG-39-HULB 3-3,Darkest Vein,11-16,4,,,,,,,,,,,https://www.dmsguild.com/product/260906/CCCBMG39-HULB-33-Darkest-Vein
CCC-BMG-40-HULB 4-1,Whispers from the Deep,11-16,4,,,,,,,,,,,https://www.dmsguild.com/product/264698/CCCBMG40-HULB-41-Whispers-from-the-Deep
CCC-BMG-41-HULB 4-2,Voices from the Deep,11-16,4,,,,,,,,,,,https://www.dmsguild.com/product/264699/CCCBMG41-HULB-42-Voices-from-the-Deep
CCC-BMG-42-HULB 4-3,Call of the Deep,11-16,4,,,,,,,,,,,https://www.dmsguild.com/product/264701/CCCBMG42-HULB-43-Call-of-the-Deep
CCC-BMG-43-PHLAN 4-1,Ghoulies and Ghosties,5-10,4,,,,,,,,,,,https://www.dmsguild.com/product/265111/CCCBMG43-PHLAN-41-Ghoulies-and-Ghosties
CCC-BMG-440PHLAN 4-2,Long Leggity Beasties,5-10,4,,,,,,,,,,,https://www.dmsguild.com/product/265112/CCCBMG44-PHLAN-42-Long-Leggity-Beasties
CCC-BMG-45-PHLAN 4-3,Things That Go Bump in the Night,5-10,4,,,,,,,,,,,https://www.dmsguild.com/product/265113/CCCBMG45-PHLAN-43-Things-That-Go-Bump-in-the-Night
CCC-BMG-46-HILL 3-1,Shepherd the Weak,5-10,4,,,,,,,,,,,https://www.dmsguild.com/product/266616/CCCBMG46-HILL-31-Shepherd-the-Weak
