Adventure Code,Adventure Name,Seed Name,Tier,Length,Date Published,Copies Sold,Badge Rank
SJ-DC-LP-01,Litter Patrol,Create a Location in Wildspace,2,4,Nov 2022,,
SJ-DC-MAD-02,Mad Effect: Retribution,Create a Location in Wildspace,2,4,Jan 2023,,
SJ-DC-MDW01,Let's Rock!,Create a Location in Wildspace,1,2,Nov 2022,,
SJ-DC-MONSTER-01,Phoenix,Create a Location in Wildspace,3,2,Feb 2023,,
SJ-DC-MOR-01,"The Ill King, the Rotting Woods, and the Morterino",Create a Location in Wildspace,1,4,Mar 2023,,
SJ-DC-NBDD-01,Where in the Worlds?,Create a Location in Wildspace,2,4,Dec 2022,,
SJ-DC-NCH-01,A String of Pearls,Create a Location in Wildspace,1,4,Nov 2022,,
SJ-DC-NMB1-01,An Enemy,Create a Location in Wildspace,2,2,Mar 2023,,
SJ-DC-NOS-01,Terminal Escape Velocity,Create a Location in Wildspace,3,4,Nov 2022,,
SJ-DC-NOS-02,A Rogue Heart,Create a Location in Wildspace,3,4,Jan 2023,,
SJ-DC-NOS-03,Sol Crash,Create a Location in Wildspace,3,4,Apr 2023,,
SJ-DC-PAT-00,The Moonshot,Create a Location in Wildspace,1,2,Dec 2022,,
SJ-DC-PAT-02,Snake-Eye Satellite,Create a Location in Wildspace,2,2,Apr 2023,,
SJ-DC-PHP-BORK,The Borkfather,Create a Location in Wildspace,1,4,May 2023,,
SJ-DC-PHP-FLN01-01,Forlorn but not Forgotten,Create a Location in Wildspace,1,2,Dec 2022,,
SJ-DC-PHP-FLN01-02,Kaleidoscope Vault,Create a Location in Wildspace,1,2,Apr 2023,,
SJ-DC-PHP-FLN01-03,Unsworn Oath,Create a Location in Wildspace,1,2,May 2023,,
SJ-DC-PHP-OJW-01,"Hook, Line, and Scavver",Create a Location in Wildspace,1,4,Oct 2022,,
SJ-DC-PHP-WUMBO,Flight of the Wumbo Bee,Create a Location in Wildspace,2,4,Nov 2022,,
SJ-DC-RFJK-01,Bringing Home the Bacon,Create a Location in Wildspace,1,2,Nov 2022,,
SJ-DC-RH-01,Honor Beyond Reprieve,Create a Location in Wildspace,2,4,Apr 2023,,
SJ-DC-ROTU-00,Recesses of the Unknown (Prologue),Create a Location in Wildspace,2,4,May 2023,,
SJ-DC-ROTU-01,Recesses of the Unknown,Create a Location in Wildspace,2,4,May 2023,,
SJ-DC-ROTU-02,Prelude to Finality,Create a Location in Wildspace,2,2,May 2023,,
SJ-DC-ROTU-03,Hubris of Gods,Create a Location in Wildspace,3,4,May 2023,,
SJ-DC-ROTU-04,Declaration of War,Create a Location in Wildspace,3,4,May 2023,,
SJ-DC-ROTU-05,Return of the Unknown I,Create a Location in Wildspace,3,4,May 2023,,
SJ-DC-SCN-01,Monkey Business,Create a Location in Wildspace,2,4,Nov 2022,,
SJ-DC-SCN-02,Monkey King,Create a Location in Wildspace,2,4,Mar 2023,,
SJ-DC-SCR-01,Scraps for the Dragon,Create a Location in Wildspace,2,4,Dec 2022,,
SJ-DC-SQD,Squidaddle!,Create a Location in Wildspace,1,2,Sep 2022,,
SJ-DC-SQD2,Squidoosh!,Create a Location in Wildspace,1,2,Apr 2023,,
SJ-DC-STRATCON-01,The Lost God,Create a Location in Wildspace,2,4,May 2023,,
SJ-DC-SYL-01,Prismatic Invitation,Create a Location in Wildspace,1,4,Sep 2022,,
SJ-DC-THID-MB04,The Horror in Darkfall,Create a Location in Wildspace,1,2,Jan 2023,,
SJ-DC-TKM-01,Lost Stars,Create a Location in Wildspace,1,2,Nov 2022,,
SJ-DC-TKM-02,"Tink, Tink, Boom!",Create a Location in Wildspace,1,2,Mar 2023,,
SJ-DC-TRIDEN-MW,Mighty Wings,Create a Location in Wildspace,1,4,Oct 2022,,
SJ-DC-TRIDEN-MYKE-01,Every Breath You Take,Create a Location in Wildspace,3,4,Dec 2022,,
SJ-DC-TRIDEN-SD,Shot in The Dark,Create a Location in Wildspace,2,2,Jan 2023,,
SJ-DC-TRIDEN-UPR,Under Pressure,Create a Location in Wildspace,1,2,Jan 2023,,
SJ-DC-TST-01,Bulan (Moon),Create a Location in Wildspace,3,4,Oct 2022,,
SJ-DC-TST-02,Datu (Chief),Create a Location in Wildspace,3,4,Feb 2023,,
SJ-DC-TTUC-01,Shipyard Dilemma,Create a Location in Wildspace,1,4,Feb 2023,,
SJ-DC-VEN-01,S.O.S.,Create a Location in Wildspace,1,2,Dec 2022,,
SJ-DC-VMT-01,Waterdeep: Statue Heist,Create a Location in Wildspace,3,4,Jan 2023,,
SJ-DC-VMT-02,Lonesome Grub,Create a Location in Wildspace,2,4,Apr 2023,,
SJ-DC-WINE-01,Thunderstorms & Wine,Create a Location in Wildspace,3,4,May 2023,,
SJ-DC-PHP-FLN01-03,Unsworn Oath,Create a Location in Wildspace,1,2,May 2023,,
SJ-DC-CBB-02,In Cyzor's Grasp,Create a Location in Wildspace,1,4,May 2023,,
SJ-DC-AUG-10,Prisoner of Prioxa: Tales of the Beholder Corps,Create a Location in Wildspace,3,4,May 2023,,
SJ-DC-SSM-UBCon-01,On (The) Edge,Create a Location in Wildspace,2,4,May 2023,,
